accuracy,false_negative,false_positive,precision,recall,true_negative,true_positive
0.44411111111103724,4832.0,5174.0,0.4449688907959665,0.4619153674832962,3845.0,4149.0
0.4548333333332547,5183.0,4630.0,0.45057553103120923,0.42282850779510023,4389.0,3798.0
0.46961111111102594,5617.0,3930.0,0.4611271081859317,0.3744988864142539,5089.0,3364.0
0.4813888888887985,5885.0,3450.0,0.47288006111535524,0.3446547884187082,5569.0,3096.0
0.4886111111110175,6053.0,3152.0,0.48149366672150024,0.3259465478841871,5867.0,2928.0
0.4917777777776828,5905.0,3243.0,0.48670465337132,0.34242761692650336,5776.0,3076.0
0.4955555555554589,5693.0,3387.0,0.49250824093497153,0.3660356347438753,5632.0,3288.0
0.49583333333323654,5517.0,3558.0,0.49323458196838055,0.3856347438752784,5461.0,3464.0
0.495777777777681,5402.0,3674.0,0.4933811362382791,0.3984409799554566,5345.0,3579.0
0.49783333333323565,5279.0,3760.0,0.4960461064200509,0.4121380846325167,5259.0,3702.0
0.499333333333235,5195.0,3817.0,0.4978952907129703,0.4214922048997773,5202.0,3786.0
0.5012222222221242,5152.0,3826.0,0.5001306506401881,0.42628062360801783,5193.0,3829.0
0.5033888888887921,5144.0,3795.0,0.502686410693225,0.42717149220489975,5224.0,3837.0
0.5048888888887929,5156.0,3756.0,0.5044854881266491,0.4258351893095768,5263.0,3825.0
0.5065555555554605,5146.0,3736.0,0.5064729194187583,0.4269487750556793,5283.0,3835.0
0.5077777777776834,5112.0,3748.0,0.5078781512605042,0.4307349665924276,5271.0,3869.0
0.5092777777776842,5117.0,3716.0,0.5096978493204908,0.4301781737193764,5303.0,3864.0
0.511055555555463,5115.0,3686.0,0.5118527347371209,0.4304008908685969,5333.0,3866.0
0.5122777777776859,5114.0,3665.0,0.5133448413225336,0.43051224944320715,5354.0,3867.0
0.51361111111102,5088.0,3667.0,0.5148829210212991,0.4334075723830735,5352.0,3893.0
0.5144999999999094,5055.0,3684.0,0.515836509396767,0.4370824053452116,5335.0,3926.0
0.5149999999999096,5024.0,3706.0,0.5163142782563299,0.4405345211581292,5313.0,3957.0
0.5156111111110211,4992.0,3727.0,0.5169151004536617,0.44409799554565704,5292.0,3989.0
0.5165555555554661,4971.0,3731.0,0.5179586563307493,0.44643652561247216,5288.0,4010.0
0.5176111111110222,4972.0,3711.0,0.5192382432957637,0.4463251670378619,5308.0,4009.0
0.5184999999999116,4976.0,3691.0,0.5203378817413905,0.44587973273942094,5328.0,4005.0
0.519388888888801,4989.0,3662.0,0.5214948386253757,0.44443207126948775,5357.0,3992.0
0.5201111111110236,4994.0,3644.0,0.5224115334207078,0.44387527839643653,5375.0,3987.0
0.5212777777776909,4995.0,3622.0,0.5238596029972394,0.4437639198218263,5397.0,3986.0
0.5216111111110244,4999.0,3612.0,0.5242986961675227,0.4433184855233853,5407.0,3982.0
0.5222777777776915,4997.0,3602.0,0.5251153592617007,0.44354120267260577,5417.0,3984.0
0.5227777777776917,4999.0,3591.0,0.5257527733755943,0.4433184855233853,5428.0,3982.0
0.5228888888888029,5006.0,3582.0,0.5259396506087877,0.4425389755011136,5437.0,3975.0
0.5236111111110255,5003.0,3572.0,0.5268247449993376,0.4428730512249443,5447.0,3978.0
0.5239444444443591,4988.0,3581.0,0.5271358774593953,0.444543429844098,5438.0,3993.0
0.5233333333332476,4961.0,3619.0,0.5261848651479445,0.4475501113585746,5400.0,4020.0
0.5233888888888032,4918.0,3661.0,0.5259614139583063,0.4523385300668151,5358.0,4063.0
0.5238888888888035,4881.0,3689.0,0.5263225475089882,0.4564587973273942,5330.0,4100.0
0.5243333333332482,4841.0,3721.0,0.526590330788804,0.460913140311804,5298.0,4140.0
0.5246666666665817,4805.0,3751.0,0.5267474135755741,0.46492204899777284,5268.0,4176.0
0.5256666666665822,4780.0,3758.0,0.5277707966825835,0.46770601336302897,5261.0,4201.0
0.5262222222221381,4774.0,3754.0,0.528391959798995,0.46837416481069044,5265.0,4207.0
0.5270555555554719,4761.0,3752.0,0.5292936896248902,0.46982182628062363,5267.0,4220.0
0.5276666666665834,4744.0,3758.0,0.5298974230673005,0.4717149220489978,5261.0,4237.0
0.5281666666665836,4739.0,3754.0,0.5304565353345841,0.472271714922049,5265.0,4242.0
0.528388888888806,4738.0,3751.0,0.5307143750781934,0.47238307349665926,5268.0,4243.0
0.5292777777776954,4727.0,3746.0,0.5316914614326791,0.47360801781737194,5273.0,4254.0
0.5293888888888065,4728.0,3743.0,0.5318323952470294,0.4734966592427617,5276.0,4253.0
0.52972222222214,4732.0,3733.0,0.5322641273023431,0.4730512249443207,5286.0,4249.0
0.5302222222221403,4748.0,3708.0,0.5329974811083124,0.47126948775055677,5311.0,4233.0
